jira_timesheet_redis_prod  | 1:M 23 Mar 2026 06:30:52.198 * Background saving terminated with success
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:12:51 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_backend_prod  | INFO:     172.20.0.7:53250 - "GET /api/v1/users/me HTTP/1.1" 200 OK
jira_timesheet_backend_prod  | {"event": "Request GET /api/v1/timesheet/ completed in 0.0217s with status 200", "trace_id": "ee8dde61-08fd-4a16-a304-02d65ff9b36b", "level": "info", "timestamp": "2026-03-23T07:33:27.561971Z"}
jira_timesheet_backend_prod  | INFO:     172.20.0.7:53250 - "GET /api/v1/timesheet/?start_date=2025-12-23&end_date=2026-03-23&page=1&size=25&sort_order=desc HTTP/1.1" 200 OK
jira_timesheet_backend_prod  | {"event": "Request GET /api/v1/org/my-teams completed in 0.0053s with status 200", "trace_id": "cce5f5db-c4c4-480b-8c14-08a91a302cbb", "level": "info", "timestamp": "2026-03-23T07:33:28.141169Z"}
jira_timesheet_backend_prod  | INFO:     172.20.0.7:53250 - "GET /api/v1/org/my-teams HTTP/1.1" 200 OK
jira_timesheet_backend_prod  | {"event": "Request GET /api/v1/notifications/stats completed in 0.0120s with status 200", "trace_id": "420cab64-8962-4c5b-9af8-9a9f14c8cd30", "level": "info", "timestamp": "2026-03-23T07:33:28.162705Z"}
jira_timesheet_backend_prod  | INFO:     172.20.0.7:53248 - "GET /api/v1/notifications/stats HTTP/1.1" 200 OK
jira_timesheet_backend_prod  | {"event": "Request GET /api/v1/users/me completed in 0.0168s with status 200", "trace_id": "5359d8f2-761f-454c-b770-481856a9e09f", "level": "info", "timestamp": "2026-03-23T07:33:28.164838Z"}
jira_timesheet_backend_prod  | INFO:     172.20.0.7:53250 - "GET /api/v1/users/me HTTP/1.1" 200 OK
jira_timesheet_backend_prod  | {"event": "Request GET /api/v1/projects/ completed in 0.0191s with status 200", "trace_id": "8577bd81-1e81-4255-a62f-f5ea9dbf0ddf", "level": "info", "timestamp": "2026-03-23T07:33:28.172890Z"}
jira_timesheet_worker_prod   | Traceback (most recent call last):
jira_timesheet_worker_prod   |   File "/usr/local/lib/python3.11/asyncio/tasks.py", line 500, in wait_for
jira_timesheet_worker_prod   |     return fut.result()
jira_timesheet_worker_prod   |            ^^^^^^^^^^^^
jira_timesheet_worker_prod   | asyncio.exceptions.CancelledError
jira_timesheet_worker_prod   | 
jira_timesheet_worker_prod   | The above exception was the direct cause of the following exception:
jira_timesheet_worker_prod   | 
jira_timesheet_worker_prod   | Traceback (most recent call last):
jira_timesheet_worker_prod   |   File "/app/.venv/lib/python3.11/site-packages/saq/worker.py", line 366, in process
jira_timesheet_worker_prod   |     result = await asyncio.wait_for(
jira_timesheet_worker_prod   |              ^^^^^^^^^^^^^^^^^^^^^^^
jira_timesheet_worker_prod   |   File "/usr/local/lib/python3.11/asyncio/tasks.py", line 502, in wait_for
jira_timesheet_worker_prod   |     raise exceptions.TimeoutError() from exc
jira_timesheet_worker_prod   | TimeoutError
jira_timesheet_worker_prod   | INFO:saq:Finished Job<function: task_sync_project, queue: default, key: fbff8850-268a-11f1-aa9c-0e90ab3402d7, attempts: 1, completed: 1774251390340, queued: 1774251380036, started: 1774251380045, touched: 1774251380045, worker_id: d6d49efa-22a0-11f1-aa9c-0e90ab3402d7>
jira_timesheet_worker_prod   | ERROR:saq:Error processing job Job<function: task_sync_project, kwargs: {'project_id': 15}, queue: default, key: fc005834-268a-11f1-aa9c-0e90ab3402d7, attempts: 1, queued: 1774251380041, started: 1774251380152, touched: 1774251380152, status: active, worker_id: d6d49efa-22a0-11f1-aa9c-0e90ab3402d7>
jira_timesheet_worker_prod   | Traceback (most recent call last):
jira_timesheet_worker_prod   |   File "/usr/local/lib/python3.11/asyncio/tasks.py", line 500, in wait_for
jira_timesheet_worker_prod   |     return fut.result()
jira_timesheet_worker_prod   |            ^^^^^^^^^^^^
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:12:55 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:12:57 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:13:00 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:13:04 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_worker_prod   | asyncio.exceptions.CancelledError
jira_timesheet_worker_prod   | 
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:13:06 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:13:09 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:13:11 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:13:13 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:13:14 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:13:19 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:39:51 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:39:52 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_worker_prod   | The above exception was the direct cause of the following exception:
jira_timesheet_redis_prod  | 255641:C 23 Mar 2026 06:55:57.038 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
jira_timesheet_backend_prod  | INFO:     172.20.0.7:53238 - "GET /api/v1/projects/?size=200 HTTP/1.1" 200 OK
jira_timesheet_backend_prod  | {"event": "Request GET /api/v1/org/units completed in 0.0035s with status 200", "trace_id": "a9e8389d-6134-4bda-acd2-5e7a816c3eda", "level": "info", "timestamp": "2026-03-23T07:33:28.331248Z"}
jira_timesheet_backend_prod  | INFO:     172.20.0.7:53238 - "GET /api/v1/org/units HTTP/1.1" 200 OK
jira_timesheet_backend_prod  | {"event": "Request GET /api/v1/org/employees completed in 0.0413s with status 200", "trace_id": "eba22760-3ff7-4d6b-b390-7a1a35f3de23", "level": "info", "timestamp": "2026-03-23T07:33:34.851810Z"}
jira_timesheet_backend_prod  | INFO:     172.20.0.7:39900 - "GET /api/v1/org/employees HTTP/1.1" 200 OK
jira_timesheet_backend_prod  | {"event": "Request GET /api/v1/reports/sprints completed in 0.0417s with status 200", "trace_id": "8dd22e7b-366f-4cd5-9147-b94454f013a1", "level": "info", "timestamp": "2026-03-23T07:33:34.855179Z"}
jira_timesheet_backend_prod  | INFO:     172.20.0.7:39902 - "GET /api/v1/reports/sprints HTTP/1.1" 200 OK
jira_timesheet_backend_prod  | {"event": "Request GET /api/v1/notifications/stats completed in 0.0059s with status 200", "trace_id": "ef1ba0b1-85c3-4f9b-8c26-988531fe6a80", "level": "info", "timestamp": "2026-03-23T07:33:58.337319Z"}
jira_timesheet_backend_prod  | INFO:     172.20.0.7:36066 - "GET /api/v1/notifications/stats HTTP/1.1" 200 OK
jira_timesheet_backend_prod  | {"event": "Request GET /api/v1/projects/35/releases completed in 0.0071s with status 200", "trace_id": "1f1f15d6-904c-4a3c-92fc-8b527edcf687", "level": "info", "timestamp": "2026-03-23T07:34:04.877593Z"}
jira_timesheet_backend_prod  | INFO:     172.20.0.7:36068 - "GET /api/v1/projects/35/releases HTTP/1.1" 200 OK
jira_timesheet_backend_prod  | {"event": "Request POST /api/v1/reports/custom completed in 0.0290s with status 200", "trace_id": "2358fe89-2d7f-4d50-92b1-6910d8222f28", "level": "info", "timestamp": "2026-03-23T07:34:16.534689Z"}
jira_timesheet_backend_prod  | INFO:     172.20.0.7:33762 - "POST /api/v1/reports/custom HTTP/1.1" 200 OK
jira_timesheet_backend_prod  | {"event": "Request POST /api/v1/reports/custom completed in 0.0285s with status 200", "trace_id": "4bc1a195-ca21-426c-aa52-19a1ca77492d", "level": "info", "timestamp": "2026-03-23T07:34:27.540614Z"}
jira_timesheet_backend_prod  | INFO:     172.20.0.7:57948 - "POST /api/v1/reports/custom HTTP/1.1" 200 OK
jira_timesheet_backend_prod  | {"event": "Request GET /api/v1/notifications/stats completed in 0.0065s with status 200", "trace_id": "323d2c43-374d-483e-bcc4-29e9d1000efe", "level": "info", "timestamp": "2026-03-23T07:34:28.531278Z"}
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:39:52 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:39:52 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:39:52 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:39:53 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:39:53 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:39:53 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:39:54 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:39:54 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_db_prod     | 2026-03-22 12:04:07.861 UTC [55] LOG:  checkpoint starting: time
jira_timesheet_db_prod       | 2026-03-22 12:04:13.911 UTC [55] LOG:  checkpoint complete: wrote 61 buffers (0.4%); 0 WAL file(s) added, 0 removed, 0 recycled; write=6.025 s, sync=0.010 s, total=6.051 s; sync files=35, longest=0.006 s, average=0.001 s; distance=421 kB, estimate=457 kB
jira_timesheet_db_prod       | 2026-03-22 13:04:08.974 UTC [55] LOG:  checkpoint starting: time
jira_timesheet_db_prod       | 2026-03-22 13:04:15.327 UTC [55] LOG:  checkpoint complete: wrote 64 buffers (0.4%); 0 WAL file(s) added, 0 removed, 0 recycled; write=6.326 s, sync=0.008 s, total=6.353 s; sync files=36, longest=0.004 s, average=0.001 s; distance=388 kB, estimate=450 kB
jira_timesheet_db_prod       | 2026-03-22 14:04:09.506 UTC [55] LOG:  checkpoint starting: time
jira_timesheet_db_prod       | 2026-03-22 14:04:15.849 UTC [55] LOG:  checkpoint complete: wrote 64 buffers (0.4%); 0 WAL file(s) added, 0 removed, 0 recycled; write=6.322 s, sync=0.008 s, total=6.343 s; sync files=37, longest=0.005 s, average=0.001 s; distance=469 kB, estimate=469 kB
jira_timesheet_db_prod       | 2026-03-22 15:04:10.969 UTC [55] LOG:  checkpoint starting: time
jira_timesheet_db_prod       | 2026-03-22 15:04:17.150 UTC [55] LOG:  checkpoint complete: wrote 62 buffers (0.4%); 0 WAL file(s) added, 0 removed, 0 recycled; write=6.160 s, sync=0.007 s, total=6.181 s; sync files=35, longest=0.004 s, average=0.001 s; distance=385 kB, estimate=461 kB
jira_timesheet_db_prod       | 2026-03-22 16:04:11.317 UTC [55] LOG:  checkpoint starting: time
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:39:54 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:39:54 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:39:55 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:39:56 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:39:57 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:39:59 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:40:04 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:40:06 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:40:11 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:40:14 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:40:18 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:40:23 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:40:27 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:40:29 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:40:33 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:40:35 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:40:39 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:40:43 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
jira_timesheet_web_prod      | 172.20.0.7 - jira_timesheet [20/Mar/2026:07:40:45 +0000] "GET /Report_Builder/_stcore/stream HTTP/1.1" 200 1004 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36" "37.120.218.132"
